ID,novelindex,평점
00s***,466,4.5
00s***,91,5
00s***,38,4
00s***,104,5
00s***,479,5
00s***,20,4
00s***,70,5
00s***,495,5
00s***,22,5
00s***,63,4
00s***,107,4
00s***,481,4
00s***,178,4
00s***,24,4.5
00s***,270,4
00s***,17,4
00s***,477,4
00s***,46,4
00s***,471,4.5
00s***,76,4
00s***,2,4.5
00s***,29,5
00s***,468,5
00s***,21,5
00s***,271,4
00s***,26,4
00s***,3,4
00s***,4,5
00s***,28,5
00s***,6,5
00s***,470,5
00s***,16,4
010***,655,3
010***,683,5
010***,23,4.5
010***,7,5
010***,8,4
010***,797,4.5
010***,154,3
010***,424,3.5
010***,794,4
010***,98,5
010***,5,5
010***,502,1
010***,40,4.5
010***,488,3.5
010***,89,5
010***,0,5
010***,464,5
010***,1,5
010***,25,5
010***,86,3
010***,109,4
010***,796,3.5
010***,78,3
010***,459,1
010***,466,5
010***,197,5
010***,481,5
010***,113,4
010***,270,5
010***,517,3
010***,51,4
010***,46,5
010***,59,5
010***,49,4
010***,76,5
010***,35,5
010***,271,5
010***,26,4.5
010***,3,4.5
012***,185,5
012***,7,5
012***,797,4
012***,5,4
012***,40,5
012***,0,4
012***,1,4
012***,25,5
012***,466,4
012***,517,5
012***,478,5
012***,46,4
012***,76,4
012***,484,4
012***,271,4
012***,26,5
012***,3,4
022***,655,4
022***,683,4
022***,23,5
022***,7,5
022***,797,5
022***,424,5
022***,5,5
022***,40,5
022***,25,5
022***,516,5
022***,466,5
022***,481,4
022***,270,5
022***,19,5
022***,3,5
025***,7,5
025***,67,5
025***,89,5
025***,0,4
025***,68,5
025***,10,4
025***,62,5
025***,17,5
025***,76,5
025***,3,5
025***,58,5
027***,23,5
027***,797,5
027***,5,5
027***,40,5
027***,1,5
027***,486,5
027***,10,5
027***,25,5
027***,796,5
027***,46,5
027***,76,5
027***,271,5
027***,3,5
02g***,23,5
02g***,7,5
02g***,797,5
02g***,424,5
02g***,5,5
02g***,502,5
02g***,485,5
02g***,40,5
02g***,89,5
02g***,0,5
02g***,1,5
02g***,25,5
02g***,796,5
02g***,92,5
02g***,466,5
02g***,481,5
02g***,270,5
02g***,111,5
02g***,46,5
02g***,271,5
02g***,26,5
02g***,3,5
02h***,640,5
02h***,182,5
02h***,467,5
02h***,464,1
02h***,650,5
02h***,645,5
02h***,19,5
02h***,648,5
02h***,675,5
02h***,484,5
02p***,640,4
02p***,497,4
02p***,656,4
02p***,683,4
02p***,671,5
02p***,23,4
02p***,120,5
02p***,154,4
02p***,147,5
02p***,133,4
02p***,54,4
02p***,5,4
02p***,40,5
02p***,488,5
02p***,129,4
02p***,158,4
02p***,139,5
02p***,512,5
02p***,151,5
02p***,32,5
02p***,161,4
02p***,127,5
02p***,118,4
02p***,86,4
02p***,796,5
02p***,499,4
02p***,462,5
02p***,703,4
02p***,482,4
02p***,481,3
02p***,62,5
02p***,51,5
02p***,46,5
02p***,49,5
02p***,76,4
02p***,648,4
02p***,460,5
02p***,468,5
02p***,30,5
02p***,484,5
02p***,503,4
02p***,36,5
02p***,72,4
031***,490,5
031***,23,5
031***,7,5
031***,797,5
031***,424,5
031***,502,5
031***,485,5
031***,40,5
031***,488,5
031***,89,5
031***,0,5
031***,1,5
031***,69,5
031***,649,4
031***,132,4
031***,25,5
031***,480,5
031***,109,5
031***,796,5
031***,459,4
031***,466,5
031***,482,5
031***,112,5
031***,481,4
031***,270,5
031***,517,5
031***,95,5
031***,46,5
031***,73,5
031***,49,5
031***,511,5
031***,76,5
031***,271,5
031***,26,5
031***,3,5
031***,36,5
031***,72,5
031***,105,5
032***,148,5
032***,23,5
032***,103,5
032***,27,5
032***,67,5
032***,120,4
032***,797,5
032***,48,5
032***,154,5
032***,424,5
032***,520,4
032***,71,5
032***,5,5
032***,465,5
032***,40,5
032***,488,5
032***,494,4
032***,89,5
032***,158,5
032***,0,5
032***,139,5
032***,53,5
032***,642,5
032***,1,5
032***,486,5
032***,32,5
032***,31,5
032***,10,5
032***,25,5
032***,532,4
032***,86,5
032***,109,5
032***,796,5
032***,459,5
032***,14,5
032***,466,5
032***,684,4
032***,94,5
032***,487,4
032***,60,4
032***,63,5
032***,107,5
032***,481,5
032***,62,5
032***,192,4
032***,270,5
032***,17,5
032***,517,5
032***,46,5
032***,49,5
032***,76,5
032***,2,5
032***,468,5
032***,503,4
032***,271,5
032***,26,5
032***,3,5
032***,58,5
032***,171,4
032***,108,5
040***,7,4
040***,797,4
040***,424,3
040***,89,3
040***,0,5
040***,464,5
040***,25,4
040***,197,5
040***,94,4
040***,481,3
040***,270,4
040***,73,4
040***,76,4
040***,35,5
040***,155,5
050***,23,5
050***,8,4
050***,797,5
050***,424,4
050***,794,4
050***,5,5
050***,164,5
050***,40,5
050***,89,5
050***,0,5
050***,1,5
050***,161,5
050***,25,5
050***,466,5
050***,94,5
050***,481,5
050***,270,5
050***,46,5
050***,76,5
050***,163,5
050***,271,5
050***,3,4.5
050***,16,3
051***,7,5
051***,528,5
051***,501,5
051***,464,5
051***,459,5
051***,39,5
051***,473,5
051***,510,5
051***,482,5
051***,646,5
051***,460,5
051***,468,5
060***,103,4
060***,154,4
060***,55,4
060***,502,4
060***,488,4
060***,89,4
060***,158,4
060***,1,4
060***,118,4
060***,86,4
060***,109,4
060***,78,4
060***,60,3
060***,481,3
060***,517,4
060***,51,4
060***,46,4
060***,49,4
060***,26,4
061***,33,5
061***,128,4
061***,164,4
061***,502,4
061***,488,5
061***,129,4
061***,507,4
061***,469,3
061***,51,5
061***,90,4
061***,163,5
062***,23,4.5
062***,7,5
062***,120,5
062***,797,4.5
062***,37,5
062***,424,5
062***,5,4.5
062***,40,4.5
062***,89,5
062***,0,5
062***,464,4
062***,1,4.5
062***,69,5
062***,25,4
062***,119,5
062***,796,4
062***,466,4.5
062***,94,5
062***,481,4.5
062***,270,4.5
062***,517,5
062***,46,4.5
062***,76,5
062***,271,5
062***,26,3
062***,3,4.5
063***,656,4
063***,5,5
063***,40,5
063***,89,5
063***,0,5
063***,1,5
063***,459,5
063***,270,5
063***,46,5
063***,76,5
063***,271,5
063***,3,5
070***,490,5
070***,7,5
070***,165,5
070***,103,5
070***,667,3
070***,458,5
070***,128,5
070***,485,5
070***,89,5
070***,1,5
070***,680,5
070***,462,5
070***,509,5
070***,487,5
070***,513,3
070***,469,5
070***,474,5
070***,49,5
070***,76,5
070***,491,5
070***,506,5
070***,468,3
070***,155,5
090***,767,5
090***,140,5
090***,23,5
090***,7,5
090***,8,5
090***,103,5
090***,27,5
090***,9,5
090***,120,5
090***,797,5
090***,154,5
090***,424,4.5
090***,71,5
090***,5,5
090***,40,5
090***,488,5
090***,89,5
090***,0,5
090***,467,5
090***,1,5
090***,25,5
090***,704,5
090***,126,5
090***,86,5
090***,109,5
090***,796,5
090***,466,5
090***,94,5
090***,510,5
090***,60,5
090***,482,5
090***,476,5
090***,481,5
090***,270,5
090***,517,5
090***,477,5
090***,46,5
090***,49,5
090***,76,5
090***,271,5
090***,26,5
090***,3,5
090***,108,5
090***,16,5
092***,497,4
092***,23,5
092***,528,5
092***,797,5
092***,458,5
092***,424,5
092***,5,5
092***,518,4
092***,40,5
092***,89,5
092***,0,5
092***,512,5
092***,464,5
092***,1,5
092***,43,5
092***,25,5
092***,480,5
092***,796,5
092***,507,5
092***,39,5
092***,473,5
092***,466,5
092***,482,5
092***,481,5
092***,270,5
092***,46,5
092***,76,5
092***,35,4
092***,271,5
092***,26,5
092***,3,5
092***,117,4
098***,701,3
098***,23,5
098***,103,5
098***,797,5
098***,424,5
098***,5,5
098***,40,5
098***,50,5
098***,775,3
098***,25,5
098***,796,5
098***,481,5
098***,3,5
09t***,148,5
09t***,23,5
09t***,8,5
09t***,67,5
09t***,797,5
09t***,37,5
09t***,424,5
09t***,794,5
09t***,5,5
09t***,40,5
09t***,89,5
09t***,0,5
09t***,1,5
09t***,10,5
09t***,25,5
09t***,796,5
09t***,466,5
09t***,481,5
09t***,270,5
09t***,17,5
09t***,46,5
09t***,76,5
09t***,468,5
09t***,271,5
09t***,16,5
0al***,148,5
0al***,23,5
0al***,8,5
0al***,67,5
0al***,797,5
0al***,37,5
0al***,424,5
0al***,794,5
0al***,5,5
0al***,40,5
0al***,89,5
0al***,0,5
0al***,1,5
0al***,10,5
0al***,25,5
0al***,796,5
0al***,466,5
0al***,481,5
0al***,270,5
0al***,17,5
0al***,46,5
0al***,76,5
0al***,468,5
0al***,271,5
0al***,16,5
0ap***,520,5
0ap***,494,5
0ap***,636,5
0ap***,532,5
0ap***,684,5
0ap***,487,5
0ap***,662,5
0ap***,645,5
0ap***,706,5
0ap***,171,5
0ha***,23,4
0ha***,120,4
0ha***,5,5
0ha***,139,4
0ha***,25,4
0ha***,126,4
0ha***,60,4
0ha***,270,4
0ha***,35,4
0ha***,3,5
0km***,655,4
0km***,96,4
0km***,27,4
0km***,132,4
0km***,104,4
0km***,482,4
0km***,152,4
0km***,478,5
0km***,59,4
0km***,18,4
0km***,72,3
0lg***,23,5
0lg***,797,5
0lg***,424,5
0lg***,5,5
0lg***,40,5
0lg***,89,5
0lg***,0,5
0lg***,1,5
0lg***,25,5
0lg***,796,5
0lg***,466,5
0lg***,481,5
0lg***,270,5
0lg***,46,5
0lg***,76,5
0lg***,271,5
0lg***,26,5
0lg***,3,5
0mo***,23,4
0mo***,7,4
0mo***,8,4
0mo***,797,5
0mo***,37,4
0mo***,424,4
0mo***,794,4
0mo***,5,4
0mo***,40,4
0mo***,89,4
0mo***,0,4
0mo***,1,4
0mo***,25,4
0mo***,796,3
0mo***,466,4
0mo***,481,3
0mo***,270,4
0mo***,46,4
0mo***,76,4
0mo***,271,5
0mo***,26,4
0mo***,3,4
0mo***,16,4
0so***,106,4
0so***,11,5
0so***,135,4
0so***,148,4
0so***,47,5
0so***,23,5
0so***,7,5
0so***,528,4
0so***,103,4
0so***,9,4
0so***,67,5
0so***,797,5
0so***,12,5
0so***,48,4
0so***,37,4
0so***,458,5
0so***,424,4
0so***,13,4
0so***,44,5
0so***,794,4
0so***,55,5
0so***,5,5
0so***,465,4
0so***,34,5
0so***,40,4
0so***,80,5
0so***,461,5
0so***,89,4
0so***,0,4
0so***,139,4
0so***,53,5
0so***,467,4
0so***,65,5
0so***,464,5
0so***,1,4
0so***,145,5
0so***,69,4
0so***,43,5
0so***,31,4
0so***,10,4
0so***,56,5
0so***,102,5
0so***,61,5
0so***,25,4
0so***,119,4
0so***,480,4
0so***,75,5
0so***,86,4
0so***,150,5
0so***,796,4
0so***,100,5
0so***,174,5
0so***,14,4
0so***,466,4
0so***,91,5
0so***,38,4
0so***,104,5
0so***,479,5
0so***,20,4
0so***,70,5
0so***,495,5
0so***,469,5
0so***,22,5
0so***,63,4
0so***,107,4
0so***,481,5
0so***,178,4
0so***,24,5
0so***,270,4
0so***,17,4
0so***,634,5
0so***,517,4
0so***,477,4
0so***,95,5
0so***,46,4
0so***,471,4
0so***,49,5
0so***,76,4
0so***,18,5
0so***,2,4
0so***,468,5
0so***,21,5
0so***,271,4
0so***,26,4
0so***,3,5
0so***,4,5
0so***,28,5
0so***,6,5
0so***,64,5
0so***,470,5
0so***,16,4
0uq***,148,5
0uq***,23,5
0uq***,8,5
0uq***,67,5
0uq***,797,5
0uq***,37,5
0uq***,424,5
0uq***,794,5
0uq***,5,5
0uq***,40,5
0uq***,89,5
0uq***,0,5
0uq***,1,5
0uq***,10,5
0uq***,25,5
0uq***,796,5
0uq***,466,5
0uq***,481,5
0uq***,270,5
0uq***,17,5
0uq***,46,5
0uq***,76,5
0uq***,468,5
0uq***,271,5
0uq***,16,5
0yu***,148,5
0yu***,23,5
0yu***,8,5
0yu***,67,5
0yu***,797,5
0yu***,37,5
0yu***,424,5
0yu***,794,5
0yu***,5,5
0yu***,40,5
0yu***,89,3
0yu***,0,5
0yu***,1,5
0yu***,10,5
0yu***,25,5
0yu***,796,5
0yu***,466,5
0yu***,481,5
0yu***,270,5
0yu***,17,5
0yu***,46,5
0yu***,76,5
0yu***,468,5
0yu***,271,5
0yu***,16,5
100***,33,5
100***,655,5
100***,140,4
100***,23,4
100***,7,4.5
100***,528,5
100***,103,5
100***,27,5
100***,120,5
100***,797,5
100***,458,5
100***,13,5
100***,98,4.5
100***,5,4
100***,502,2
100***,518,4
100***,40,5
100***,461,5
100***,89,3
100***,151,5
100***,1,4
100***,486,5
100***,32,5
100***,68,4
100***,56,5
100***,496,5
100***,25,3
100***,126,5
100***,532,5
100***,42,4
100***,75,4
100***,86,5
100***,150,4
100***,796,5
100***,459,5
100***,466,4
100***,479,5
100***,510,4
100***,665,5
100***,60,3
100***,482,5
100***,469,5
100***,166,3.5
100***,481,3.5
100***,62,5
100***,205,3
100***,768,4
100***,270,3
100***,478,5
100***,186,4
100***,474,4
100***,111,4
100***,46,5
100***,49,4.5
100***,492,4
100***,76,3
100***,491,5
100***,648,4
100***,460,5
100***,2,5
100***,35,4.5
100***,505,5
100***,675,5
100***,30,5
100***,271,5
100***,26,3
100***,3,5
100***,36,5
100***,72,5
100***,6,5
100***,470,5
100***,108,4
101***,659,5
101***,655,5
101***,490,3
101***,683,5
101***,671,5
101***,23,5
101***,7,5
101***,8,5
101***,103,5
101***,27,4
101***,9,5
101***,120,5
101***,797,5
101***,37,5
101***,520,5
101***,794,4
101***,71,5
101***,5,4.5
101***,810,4
101***,518,5
101***,40,5
101***,494,5
101***,156,5
101***,89,4.5
101***,0,5
101***,139,5
101***,464,1
101***,1,4.5
101***,772,5
101***,56,4
101***,25,5
101***,126,5
101***,532,5
101***,109,5
101***,796,5
101***,459,5
101***,466,4.5
101***,684,5
101***,104,5
101***,510,5
101***,686,5
101***,60,5
101***,482,4.5
101***,481,5
101***,270,5
101***,517,5
101***,645,5
101***,706,5
101***,46,4
101***,49,5
101***,492,5
101***,511,5
101***,76,4.5
101***,35,5
101***,271,4.5
101***,26,4.5
101***,3,4.5
101***,203,5
101***,676,5
101***,82,5
101***,16,5
102***,140,3
102***,23,5
102***,7,5
102***,8,4.5
102***,103,4
102***,27,5
102***,120,4
102***,797,4
102***,37,4
102***,121,5
102***,154,4
102***,424,4
102***,520,4
102***,133,5
102***,71,4
102***,5,5
102***,164,5
102***,40,4
102***,488,3
102***,89,5
102***,158,4.5
102***,139,4
102***,642,4
102***,1,5
102***,638,4
102***,486,5
102***,127,5
102***,25,4
102***,704,4
102***,126,4
102***,532,5
102***,118,4
102***,86,4
102***,109,5
102***,796,4
102***,459,5
102***,466,5
102***,197,5
102***,196,4
102***,665,4
102***,487,5
102***,60,4
102***,482,4
102***,166,4
102***,481,4
102***,113,5
102***,270,4
102***,517,4
102***,179,4
102***,478,4
102***,219,4
102***,46,5
102***,49,4
102***,76,5
102***,18,5
102***,35,5
102***,271,5
102***,26,5
102***,3,4
102***,676,4
102***,82,4
102***,16,4
103***,148,5
103***,23,5
103***,7,5
103***,797,5
103***,424,5
103***,98,4
103***,5,5
103***,40,5
103***,89,5
103***,0,5
103***,1,5
103***,126,5
103***,466,5
103***,481,5
103***,17,5
103***,76,5
103***,460,5
103***,271,5
103***,26,5
103***,3,5
107***,23,5
107***,27,5
107***,797,5
107***,424,5
107***,810,5
107***,40,5
107***,1,5
107***,25,5
107***,796,5
107***,481,5
107***,270,5
107***,76,5
107***,468,5
107***,3,5
110***,655,3
110***,683,5
110***,23,4
110***,8,4.5
110***,797,3.5
110***,37,5
110***,424,4
110***,794,4.5
110***,5,4.5
110***,40,5
110***,89,4.5
110***,0,4.5
110***,1,4
110***,25,5
110***,532,5
110***,796,4.5
110***,466,4.5
110***,481,4
110***,270,5
110***,46,5
110***,49,5
110***,76,4.5
110***,35,4
110***,503,3
110***,115,4
110***,271,5
110***,26,4
110***,3,4
110***,16,5
111***,23,5
111***,7,5
111***,8,4
111***,797,5
111***,154,3
111***,424,5
111***,5,5
111***,89,5
111***,0,5
111***,1,5
111***,25,5
111***,109,4
111***,796,5
111***,466,5
111***,481,5
111***,270,5
111***,517,4
111***,46,5
111***,76,5
111***,271,5
111***,26,5
111***,3,5
111***,36,5
111***,16,3
112***,106,5
112***,655,4
112***,683,5
112***,23,4.5
112***,7,4
112***,528,5
112***,8,5
112***,797,5
112***,424,5
112***,5,4
112***,40,5
112***,488,5
112***,89,5
112***,158,5
112***,0,5
112***,464,4.5
112***,1,5
112***,32,5
112***,68,5
112***,25,4.5
112***,796,5
112***,459,5
112***,463,4
112***,462,5
112***,466,5
112***,104,5
112***,482,4
112***,481,5
112***,270,4
112***,46,5
112***,76,5
112***,468,5
112***,505,5
112***,271,5
112***,26,4.5
112***,3,4
112***,4,4
112***,6,5
112***,16,5
113***,23,5
113***,797,5
113***,424,5
113***,5,5
113***,89,5
113***,1,5
113***,25,5
113***,466,5
113***,481,5
113***,270,5
113***,46,5
113***,695,5
113***,76,5
113***,491,5
113***,271,5
113***,26,5
114***,640,4
114***,27,4
114***,740,5
114***,156,4
114***,677,5
114***,86,5
114***,150,4
114***,459,5
114***,463,5
114***,213,5
114***,233,5
114***,482,5
114***,62,4
114***,478,4
114***,511,4
114***,35,5
114***,144,4
11d***,7,5
11d***,176,5
11d***,121,5
11d***,98,4
11d***,485,5
11d***,488,4
11d***,109,4
11d***,507,5
11d***,39,5
11d***,474,5
11d***,30,5
11d***,484,5
11d***,36,5
11d***,72,4
11h***,23,5
11h***,8,4
11h***,797,5
11h***,424,5
11h***,5,5
11h***,89,5
11h***,0,5
11h***,1,5
11h***,25,4
11h***,796,5
11h***,466,5
11h***,481,5
11h***,46,5
11h***,76,5
11h***,271,5
11h***,3,4
11h***,16,2
11s***,655,4
11s***,683,4
11s***,671,4
11s***,23,3
11s***,8,3
11s***,120,4
11s***,797,3
11s***,37,3
11s***,424,3
11s***,794,1
11s***,5,3
11s***,40,3
11s***,501,5
11s***,89,3
11s***,642,4
11s***,1,3
11s***,25,3
11s***,796,3
11s***,459,5
11s***,466,3
11s***,481,3
11s***,270,3
11s***,46,3
11s***,271,3
11s***,26,3
11s***,3,3
11s***,16,3
120***,659,4
120***,140,4
120***,134,4
120***,23,4
120***,7,5
120***,8,5
120***,103,4
120***,120,4
120***,797,4.5
120***,37,5
120***,154,4
120***,424,4
120***,520,4
120***,794,5
120***,71,4
120***,98,4
120***,5,4
120***,77,4
120***,502,4
120***,40,4
120***,488,4
120***,129,4
120***,501,4
120***,89,4.5
120***,158,4
120***,0,4
120***,139,4
120***,65,5
120***,1,4.5
120***,638,4
120***,486,5
120***,161,4
120***,56,1
120***,25,4
120***,704,4
120***,636,4
120***,126,4
120***,532,4
120***,86,5
120***,109,4
120***,796,4
120***,78,4
120***,507,4
120***,499,4
120***,39,1
120***,466,4.5
120***,94,4
120***,665,4
120***,60,4
120***,513,4
120***,482,4
120***,481,4.5
120***,205,5
120***,192,4
120***,113,4.5
120***,270,4
120***,634,4
120***,517,4
120***,101,5
120***,658,4
120***,51,4
120***,74,5
120***,662,4
120***,645,4
120***,49,4
120***,492,4
120***,491,4
120***,648,4
120***,18,5
120***,35,5
120***,484,4
120***,503,4
120***,271,4.5
120***,26,5
120***,3,4
120***,72,4
121***,33,5
121***,23,4
121***,8,4
121***,27,5
121***,797,5
121***,794,4
121***,5,5
121***,89,5
121***,0,4
121***,139,5
121***,1,5
121***,132,4
121***,25,5
121***,636,4
121***,126,5
121***,15,4
121***,459,5
121***,462,5
121***,466,5
121***,482,4
121***,481,5
121***,46,4
121***,76,5
121***,271,5
121***,3,4
121***,16,2
122***,7,5
122***,458,5
122***,98,5
122***,55,5
122***,486,5
122***,459,5
122***,39,3
122***,641,5
122***,60,4
122***,673,5
122***,52,5
122***,117,3
123***,106,5
123***,33,5
123***,7,5
123***,27,5
123***,40,5
123***,89,5
123***,139,5
123***,464,5
123***,1,5
123***,68,5
123***,25,4
123***,126,5
123***,75,5
123***,796,4
123***,39,5
123***,104,5
123***,476,5
123***,481,4
123***,170,5
123***,66,3
123***,46,5
123***,73,5
123***,45,5
123***,471,5
123***,35,4
123***,271,5
123***,36,5
123***,108,5
125***,23,5
125***,528,5
125***,797,4
125***,458,5
125***,424,4
125***,40,4
125***,0,5
125***,1,4
125***,56,4
125***,25,4
125***,796,4
125***,100,4
125***,39,5
125***,462,5
125***,466,4
125***,481,4
125***,270,4
125***,46,4
125***,18,5
125***,271,5
125***,26,4
125***,3,4
128***,655,2
128***,140,3
128***,7,5
128***,475,4
128***,133,4
128***,71,4
128***,5,5
128***,502,4
128***,488,4
128***,89,5
128***,1,5
128***,638,4
128***,486,5
128***,636,4
128***,466,5
128***,510,5
128***,641,4
128***,487,5
128***,60,4
128***,482,4
128***,205,3
128***,192,4
128***,113,4
128***,270,5
128***,478,5
128***,46,5
128***,505,4
128***,503,4
128***,115,4
128***,271,5
128***,6,5
128***,108,5
12h***,23,5
12h***,8,4
12h***,797,5
12h***,5,5
12h***,89,5
12h***,0,5
12h***,1,5
12h***,25,5
12h***,796,5
12h***,466,5
12h***,481,5
12h***,46,5
12h***,76,5
12h***,271,5
12h***,3,4
12h***,16,3
12w***,23,5
12w***,424,4
12w***,337,2
12w***,794,5
12w***,5,5
12w***,40,4
12w***,89,5
12w***,1,5
12w***,25,4
12w***,796,5
12w***,466,5
12w***,481,4
12w***,270,5
12w***,46,5
12w***,76,5
12w***,271,5
12w***,3,5
131***,497,5
131***,23,4
131***,8,5
131***,120,5
131***,93,5
131***,797,5
131***,424,5
131***,5,5
131***,502,5
131***,40,5
131***,89,5
131***,1,5
131***,68,5
131***,25,5
131***,118,4
131***,796,5
131***,459,5
131***,463,5
131***,466,5
131***,481,4
131***,270,4.5
131***,101,4
131***,46,5
131***,695,4
131***,76,5
131***,491,5
131***,271,5
131***,3,5
137***,23,5
137***,8,5
137***,424,4
137***,5,5
137***,40,5
137***,89,4
137***,1,5
137***,25,5
137***,796,4
137***,481,4
137***,270,5
137***,46,5
137***,76,5
137***,271,5
137***,26,5
137***,3,5
13n***,520,5
13n***,494,4
13n***,486,5
13n***,532,5
13n***,109,5
13n***,684,4
13n***,487,5
13n***,662,5
13n***,645,5
13n***,706,4
13n***,49,5
13n***,511,5
161***,23,5
161***,797,5
161***,5,5
161***,40,5
161***,89,5
161***,0,5
161***,1,5
161***,25,5
161***,796,5
161***,466,5
161***,469,5
161***,481,5
161***,46,5
161***,76,5
161***,271,5
161***,3,5
170***,23,4
170***,548,4
170***,8,5
170***,37,4
170***,424,3
170***,5,5
170***,40,4
170***,25,4
170***,796,4
170***,481,4
170***,270,5
170***,195,5
170***,271,5
170***,3,4
176***,23,5
176***,7,4
176***,797,4
176***,424,4
176***,5,4
176***,40,5
176***,25,4
176***,796,4
176***,113,4
176***,270,5
176***,271,4
176***,3,4
180***,659,4
180***,475,4
180***,520,4
180***,638,4
180***,486,4
180***,636,4
180***,459,5
180***,749,4
180***,487,4
180***,478,4
180***,645,4
180***,676,4
180***,171,4
191***,120,4
191***,154,5
191***,71,4
191***,488,4
191***,139,4
191***,126,3
191***,86,2
191***,109,4
191***,665,4
191***,60,4
191***,517,4
191***,49,5
191***,82,5
193***,490,4
193***,27,4
193***,9,4
193***,121,5
193***,458,4
193***,520,5
193***,142,3
193***,5,4
193***,485,4
193***,488,4
193***,1,5
193***,32,5
193***,122,4
193***,56,3
193***,102,4
193***,25,4
193***,677,3
193***,100,4
193***,508,4
193***,60,4
193***,482,4
193***,469,4
193***,476,3
193***,478,5
193***,66,4
193***,511,3
193***,506,2
193***,493,4
193***,673,4
193***,468,3
193***,503,2
193***,271,4
193***,117,3
199***,683,5
199***,23,5
199***,7,5
199***,797,5
199***,424,4
199***,98,3
199***,5,5
199***,644,4
199***,40,5
199***,25,5
199***,796,5
199***,481,5
199***,270,4
199***,95,5
199***,271,5
199***,3,5
19h***,23,5
19h***,8,4
19h***,797,5
19h***,424,5
19h***,5,5
19h***,89,5
19h***,0,5
19h***,1,5
19h***,25,5
19h***,796,4
19h***,466,5
19h***,481,5
19h***,46,5
19h***,76,5
19h***,271,5
19h***,3,4
19h***,16,3
1al***,655,3
1al***,134,2
1al***,488,3
1al***,32,3
1al***,459,5
1al***,62,4
1al***,205,3
1al***,634,5
1al***,478,3
1al***,186,3
1al***,633,3
1al***,505,1
1al***,675,4
1al***,503,3
1ax***,23,5
1ax***,103,5
1ax***,797,5
1ax***,5,5
1ax***,0,5
1ax***,25,5
1ax***,126,4
1ax***,796,5
1ax***,466,5
1ax***,481,5
1ax***,270,5
1ax***,517,4
1ax***,46,5
1ax***,49,3
1ax***,76,5
1ax***,271,5
1ax***,26,5
1ax***,3,5
1bl***,23,4
1bl***,8,4
1bl***,5,4
1bl***,40,4
1bl***,89,4
1bl***,0,4
1bl***,1,4
1bl***,25,4
1bl***,271,4
1bl***,3,4
1br***,23,4
1br***,797,4
1br***,424,4
